coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:title,dcterms:type,dwc:Identification,dwc:accessURI,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
41182c5f-55d2-4fb3-98cf-42c8166b6acc,,,,,,,http://n2t.net/ark:/65665/m31a27527e-4377-40d3-8496-b847bed060dd,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Williams, Jeffrey T.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,SL=105 mm. Photo taken during 2016 Philippines FDA market survey. Specimen voucher field number : PHISH-388.,,http://collections.nmnh.si.edu/media/index.php?irn=13002214,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 443228 photograph lateral view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5665,3604,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
d35fcf5b-7ac4-42ca-b0a0-8012507285cf,,,,,,,http://n2t.net/ark:/65665/m3a60f5c80-3307-4661-a5f4-b75d3a2ef1e0,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 30: USNM 151516-151540,,http://collections.nmnh.si.edu/media/index.php?irn=14677394,,,,,,CC0,,,Ledger Volume 30: USNM 151516-151540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271,4252,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
fc5b4a21-62af-4b6a-b3e8-4db940570faf,,,,,,,http://n2t.net/ark:/65665/m3ebd3d136-6b3e-433f-aafa-266d6f0347e2,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Williams, Jeffrey T.","jpeg, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,"SL = 43 mm.  Photographed during 2000 expedition to Mindoro, Philippines.",,http://collections.nmnh.si.edu/media/index.php?irn=5002650,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 379065 photograph lateral view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,819,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
d2989639-292b-4447-a5f2-cefc040fe004,,,,,,,http://n2t.net/ark:/65665/m335741065-b856-4691-bef7-b96f4eaa98ad,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 52: USNM 268326-268350,,http://collections.nmnh.si.edu/media/index.php?irn=14596686,,,,,,CC0,,,Ledger Volume 52: USNM 268326-268350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5463,4336,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
f89f008c-a791-408e-b310-3e7a465be6b1,,,,,,,http://n2t.net/ark:/65665/m3ea78ef54-e636-4426-811b-3484f5487b07,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 24: USNM 125176-125200,,http://collections.nmnh.si.edu/media/index.php?irn=14707005,,,,,,CC0,,,Ledger Volume 24: USNM 125176-125200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5542,4356,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
e2416883-6e59-4375-a20b-68fe0c675527,,,,,,,http://n2t.net/ark:/65665/m3c876ec10-c360-4a63-9212-87e11f9af686,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 135: USNM 579851-579875,,http://collections.nmnh.si.edu/media/index.php?irn=13907612,,,,,,CC0,,,Ledger Volume 135: USNM 579851-579875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610,4332,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
0bfab92f-8a9e-4db5-9fd0-e5c7988317ff,,,,,,,http://n2t.net/ark:/65665/m36604c666-f2b5-4d35-bb5a-52caf85fe241,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 30: USNM 151591-151615,,http://collections.nmnh.si.edu/media/index.php?irn=14677397,,,,,,CC0,,,Ledger Volume 30: USNM 151591-151615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5415,4294,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
3d114048-ed60-4fa5-93d5-8ff8388f4f48,,,,,,,http://n2t.net/ark:/65665/m33b45a37e-af81-4ee5-978a-9c4ecf473527,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Williams, Jeffrey T.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,SL=252 mm. Photo taken during 2016 Philippines FDA market survey. Specimen voucher field number : PHISH-580.,,http://collections.nmnh.si.edu/media/index.php?irn=13002415,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 443420 photograph lateral view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016,3627,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
99eaf401-1021-4c2d-8c03-7c96ce6e6ee1,,,,,,,http://n2t.net/ark:/65665/m3111a6ddd-4a3f-491b-b588-395accb2aa83,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 90: USNM 458726-458750,,http://collections.nmnh.si.edu/media/index.php?irn=14401342,,,,,,CC0,,,Ledger Volume 90: USNM 458726-458750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5660,4416,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
9a4c6232-9927-4695-81dd-52890a4c54b7,,,,,,,http://n2t.net/ark:/65665/m396684c1d-adb0-4fe6-9436-458695044f0c,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Raredon, Sandra J.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=10334054,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 194907 radiograph caudal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,2128,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
9a4c6232-9927-4695-81dd-52890a4c54b7,,,,,,,http://n2t.net/ark:/65665/m30f86667c-2778-4598-a05e-bec00c5b1f54,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Raredon, Sandra J.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=10334055,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 194907 radiograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2671,2001,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
ada4042b-a7a4-4985-b565-fcba56f2ffb1,,,,,,,http://n2t.net/ark:/65665/m39bfb983f-228c-45f3-8338-6113ff87dc3b,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Williams, Jeffrey T.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,SL = 200.0mm. Specimen voucher field number PI-0185. Collected for 2011 Philippines FDA market survey.,,http://collections.nmnh.si.edu/media/index.php?irn=10030853,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 403185 photograph lateral view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208,2156,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
ada4042b-a7a4-4985-b565-fcba56f2ffb1,,,,,,,http://n2t.net/ark:/65665/m3cd30b128-e0e0-48cf-a92a-0fd0b2f05b3a,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Raredon, Sandra J.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=10334465,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 403185 radiograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226,3200,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
ada4042b-a7a4-4985-b565-fcba56f2ffb1,,,,,,,http://n2t.net/ark:/65665/m3f633e536-7ef7-4794-a3c2-896f206e9395,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,"Raredon, Sandra J.","tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,,image,,,,,,,,http://collections.nmnh.si.edu/media/index.php?irn=10334464,,,,,,Usage Conditions Apply,,,Trachinotus blochii USNM 403185 radiograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968,1780,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
b0eee684-179f-47ec-b71d-057f4f1abfcb,,,,,,,http://n2t.net/ark:/65665/m39d8f2135-468e-4ff0-8736-fd9dca97174b,,,,,,,,,,,,,,,,,,,,,,,,,"Smithsonian Institution, NMNH, Fishes",,,,,Specimen/Object,,,,,,,,,,,Division of Fishes,"tiff, jpeg, jpeg, jpeg, jpeg",,Usage Conditions Apply,Division of Fishes NMNH Smithsonian Institution,image,,,,,,Envelope Notes Verbatim: Box 3; S-V 917; 1; FL 31.7.,,http://collections.nmnh.si.edu/media/index.php?irn=11456890,,,,,,Usage Conditions Apply,,,Trachinotus blochii RAD117571-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5073,1954,,,,,,,,,,,,https://www.si.edu/termsofuse,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
44f89132-b528-467b-b218-60e0e2bbd766,,,,,,,http://n2t.net/ark:/65665/m30e7a486d-160b-4960-8414-4742d53e5aba,,,,,,,,,,,,,,,,https://www.si.edu/sites/default/files/icons/cc0.svg,,,,,,,,,"Smithsonian Institution, NMNH, Mammals",,,,,Documentation,,,,,,,,,,,,"jpeg, jpeg, jpeg, jpeg, jpeg",,CC0,,image,,,,,,Ledger Volume 22: USNM 112976-113000,,http://collections.nmnh.si.edu/media/index.php?irn=14716715,,,,,,CC0,,,Ledger Volume 22: USNM 112976-113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5391,4378,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/,https://naturalhistory.si.edu/research/nmnh-collections/museum-collections-policies
